user_query
"1. Add a book with title ""Clean Code"" and author ""Robert C. Martin""."
"  45. Show me the composer of the musical composition ""Clair de Lune""."
"  46. Add a recipe with name ""Spaghetti Bolognese"" and chef ""Marcella Hazan""."
"  47. Get all entities related to the recipe ""Spaghetti Bolognese""."
"  48. Update the recipe ""Spaghetti Bolognese"" with a new serving size"
"  49. Delete the recipe with the name ""Spaghetti Bolognese""."
"  50. Show me the chef of the recipe ""Spaghetti Bolognese""."
"  51. Add a historical event with name ""The Battle of Waterloo"" and year ""1815""."
"  52. Get all entities related to the historical event ""The Battle of Waterloo""."
"  53. Update the historical event ""The Battle of Waterloo"" with a new number of casualties"
"  54. Delete the historical event with the name ""The Battle of Waterloo""."
"  55. Show me the year of the historical event ""The Battle of Waterloo""."
"  56. Add an astronomical object with name ""Mars"" and discoverer ""Galileo Galilei""."
"  57. Get all entities related to the astronomical object ""Mars""."
"  58. Update the astronomical object ""Mars"" with a new diameter"
"  59. Delete the astronomical object with the name ""Mars""."
"  60. Show me the discoverer of the astronomical object ""Mars""."
"  61. Add an architectural structure with name ""The Eiffel Tower"" and architect ""Gustave Eiffel""."
"  62. Get all entities related to the architectural structure ""The Eiffel Tower""."
"  63. Update the architectural structure ""The Eiffel Tower"" with a new height"
"  64. Delete the architectural structure with the name ""The Eiffel Tower""."
"  65. Show me the architect of the architectural structure ""The Eiffel Tower""."
"  66. Add a chemical compound with name ""Water"" and formula ""H2O""."
"  67. Get all entities related to the chemical compound ""Water""."
"  68. Update the chemical compound ""Water"" with a new melting point"
"  69. Delete the chemical compound with the name ""Water""."
"  70. Show me the formula of the chemical compound ""Water""."
"  71. Add a geographical feature with name ""The Amazon Rainforest"" and location ""South America""."
"  72. Get all entities related to the geographical feature ""The Amazon Rainforest""."
"  73. Update the geographical feature ""The Amazon Rainforest"" with a new area"
"  74. Delete the geographical feature with the name ""The Amazon Rainforest""."
"  75. Show me the location of the geographical feature ""The Amazon Rainforest""."
"  76. Add an animal species with name ""Giraffe"" and habitat ""Savannah""."
"  77. Get all entities related to the animal species ""Giraffe""."
"  78. Update the animal species ""Giraffe"" with a new average height"
"  79. Delete the animal species with the name ""Giraffe""."
"  80. Show me the habitat of the animal species ""Giraffe""."
"  81. Add a vegetable crop with name ""Corn"" and grower ""John Deere""."
"  82. Get all entities related to the vegetable crop ""Corn""."
"  83. Update the vegetable crop ""Corn"" with a new yield per hectare"
"  84. Delete the vegetable crop with the name ""Corn""."
"  85. Show me the grower of the vegetable crop ""Corn""."
"  86. Add a mineral resource with name ""Gold"" and location ""Australia""."
"  87. Get all entities related to the mineral resource ""Gold""."
"  88. Update the mineral resource ""Gold"" with a new price per ounce"
"  89. Delete the mineral resource with the name ""Gold""."
"  90. Show me the location of the mineral resource ""Gold""."
"  91. Add an electronic device with name ""Smartphone"" and manufacturer ""Apple""."
"  92. Get all entities related to the electronic device ""Smartphone""."
"  93. Update the electronic device ""Smartphone"" with a new screen size"
"  94. Delete the electronic device with the name ""Smartphone""."
"  95. Show me the manufacturer of the electronic device ""Smartphone""."
"  96. Add a game species with name ""Tiger"" and habitat ""Jungle""."
"  97. Get all entities related to the game species ""Tiger""."
"  98. Update the game species ""Tiger"" with a new average weight"
"  99. Delete the game species with the name ""Tiger""."
"  100. Show me the habitat of the game species ""Tiger""."
